la_name,phase_type_grouping,primary_need,number_of_pupils,pupil_gender_boys,pupil_gender_girls
Blackburn with Darwen,State-funded AP school,"Speech, Language and Communications needs",2,2,0
Blackburn with Darwen,State-funded nursery,Other Difficulty/Disability,1,1,0
Blackburn with Darwen,State-funded nursery,Specific Learning Difficulty,2,2,0
Blackburn with Darwen,State-funded nursery,"Speech, Language and Communications needs",28,15,13
Blackburn with Darwen,State-funded primary,Autistic Spectrum Disorder,134,98,36
Blackburn with Darwen,State-funded primary,Hearing Impairment,48,26,22
Blackburn with Darwen,State-funded primary,Moderate Learning Difficulty,294,170,124
Blackburn with Darwen,State-funded primary,Multi- Sensory Impairment,4,3,1
Blackburn with Darwen,State-funded primary,Other Difficulty/Disability,47,28,19
Blackburn with Darwen,State-funded primary,Physical Disability,105,68,37
Blackburn with Darwen,State-funded primary,Profound & Multiple Learning Difficulty,11,6,5
Blackburn with Darwen,State-funded primary,SEN support but no specialist assessment of type of need,102,52,50
Blackburn with Darwen,State-funded primary,Severe Learning Difficulty,13,7,6
Blackburn with Darwen,State-funded primary,"Social, Emotional and Mental Health",446,317,129
Blackburn with Darwen,State-funded primary,Specific Learning Difficulty,211,112,99
Blackburn with Darwen,State-funded primary,"Speech, Language and Communications needs",1452,986,466
Blackburn with Darwen,State-funded primary,Visual Impairment,28,15,13
Blackburn with Darwen,State-funded secondary,Autistic Spectrum Disorder,146,103,43
Blackburn with Darwen,State-funded secondary,Hearing Impairment,46,22,24
Blackburn with Darwen,State-funded secondary,Moderate Learning Difficulty,414,195,219
Blackburn with Darwen,State-funded secondary,Multi- Sensory Impairment,2,2,0
Blackburn with Darwen,State-funded secondary,Other Difficulty/Disability,41,29,12
Blackburn with Darwen,State-funded secondary,Physical Disability,60,40,20
Blackburn with Darwen,State-funded secondary,Profound & Multiple Learning Difficulty,2,0,2
Blackburn with Darwen,State-funded secondary,SEN support but no specialist assessment of type of need,12,6,6
Blackburn with Darwen,State-funded secondary,Severe Learning Difficulty,4,2,2
Blackburn with Darwen,State-funded secondary,"Social, Emotional and Mental Health",388,248,140
Blackburn with Darwen,State-funded secondary,Specific Learning Difficulty,200,116,84
Blackburn with Darwen,State-funded secondary,"Speech, Language and Communications needs",418,301,117
Blackburn with Darwen,State-funded secondary,Visual Impairment,51,25,26
Blackburn with Darwen,State-funded special school,Autistic Spectrum Disorder,125,111,14
Blackburn with Darwen,State-funded special school,Moderate Learning Difficulty,52,31,21
Blackburn with Darwen,State-funded special school,Multi- Sensory Impairment,1,1,0
Blackburn with Darwen,State-funded special school,Physical Disability,16,7,9
Blackburn with Darwen,State-funded special school,Profound & Multiple Learning Difficulty,36,17,19
Blackburn with Darwen,State-funded special school,Severe Learning Difficulty,53,28,25
Blackburn with Darwen,State-funded special school,"Social, Emotional and Mental Health",56,46,10
Blackburn with Darwen,State-funded special school,"Speech, Language and Communications needs",22,13,9
Blackburn with Darwen,State-funded special school,Visual Impairment,9,7,2
Blackpool,State-funded AP school,Moderate Learning Difficulty,1,0,1
Blackpool,State-funded AP school,"Social, Emotional and Mental Health",73,50,23
Blackpool,State-funded AP school,"Speech, Language and Communications needs",2,1,1
Blackpool,State-funded primary,Autistic Spectrum Disorder,121,102,19
Blackpool,State-funded primary,Hearing Impairment,33,16,17
Blackpool,State-funded primary,Moderate Learning Difficulty,365,223,142
Blackpool,State-funded primary,Multi- Sensory Impairment,8,8,0
Blackpool,State-funded primary,Other Difficulty/Disability,14,7,7
Blackpool,State-funded primary,Physical Disability,61,31,30
Blackpool,State-funded primary,SEN support but no specialist assessment of type of need,64,34,30
Blackpool,State-funded primary,Severe Learning Difficulty,4,2,2
Blackpool,State-funded primary,"Social, Emotional and Mental Health",325,250,75
Blackpool,State-funded primary,Specific Learning Difficulty,138,76,62
Blackpool,State-funded primary,"Speech, Language and Communications needs",1006,653,353
Blackpool,State-funded primary,Visual Impairment,20,8,12
Blackpool,State-funded secondary,Autistic Spectrum Disorder,50,42,8
Blackpool,State-funded secondary,Hearing Impairment,29,7,22
Blackpool,State-funded secondary,Moderate Learning Difficulty,318,170,148
Blackpool,State-funded secondary,Multi- Sensory Impairment,4,2,2
Blackpool,State-funded secondary,Other Difficulty/Disability,148,88,60
Blackpool,State-funded secondary,Physical Disability,45,27,18
Blackpool,State-funded secondary,SEN support but no specialist assessment of type of need,13,11,2
Blackpool,State-funded secondary,Severe Learning Difficulty,2,1,1
Blackpool,State-funded secondary,"Social, Emotional and Mental Health",397,258,139
Blackpool,State-funded secondary,Specific Learning Difficulty,157,92,65
Blackpool,State-funded secondary,"Speech, Language and Communications needs",269,180,89
Blackpool,State-funded secondary,Visual Impairment,15,7,8
Blackpool,State-funded special school,Autistic Spectrum Disorder,169,134,35
Blackpool,State-funded special school,Hearing Impairment,4,2,2
Blackpool,State-funded special school,Moderate Learning Difficulty,111,67,44
Blackpool,State-funded special school,Multi- Sensory Impairment,1,1,0
Blackpool,State-funded special school,Other Difficulty/Disability,8,6,2
Blackpool,State-funded special school,Physical Disability,51,28,23
Blackpool,State-funded special school,Profound & Multiple Learning Difficulty,8,3,5
Blackpool,State-funded special school,Severe Learning Difficulty,86,47,39
Blackpool,State-funded special school,"Social, Emotional and Mental Health",53,45,8
Blackpool,State-funded special school,Specific Learning Difficulty,16,11,5
Blackpool,State-funded special school,"Speech, Language and Communications needs",70,43,27
Blackpool,State-funded special school,Visual Impairment,4,4,0
Cheshire East,Non-maintained special school,Autistic Spectrum Disorder,5,5,0
Cheshire East,Non-maintained special school,Moderate Learning Difficulty,2,2,0
Cheshire East,Non-maintained special school,Profound & Multiple Learning Difficulty,1,1,0
Cheshire East,Non-maintained special school,Severe Learning Difficulty,4,4,0
Cheshire East,Non-maintained special school,"Social, Emotional and Mental Health",1,1,0
Cheshire East,Non-maintained special school,Specific Learning Difficulty,3,3,0
Cheshire East,Non-maintained special school,"Speech, Language and Communications needs",1,1,0
Cheshire East,Non-maintained special school,Visual Impairment,1,1,0
Cheshire East,State-funded AP school,Moderate Learning Difficulty,4,4,0
Cheshire East,State-funded AP school,Other Difficulty/Disability,2,2,0
Cheshire East,State-funded AP school,SEN support but no specialist assessment of type of need,1,1,0
Cheshire East,State-funded AP school,"Social, Emotional and Mental Health",16,13,3
Cheshire East,State-funded AP school,Specific Learning Difficulty,2,2,0
Cheshire East,State-funded AP school,"Speech, Language and Communications needs",1,0,1
Cheshire East,State-funded nursery,Moderate Learning Difficulty,4,3,1
Cheshire East,State-funded nursery,Physical Disability,1,0,1
Cheshire East,State-funded nursery,"Speech, Language and Communications needs",4,2,2
Cheshire East,State-funded primary,Autistic Spectrum Disorder,339,246,93
Cheshire East,State-funded primary,Hearing Impairment,48,27,21
Cheshire East,State-funded primary,Moderate Learning Difficulty,1032,633,399
Cheshire East,State-funded primary,Multi- Sensory Impairment,33,19,14
Cheshire East,State-funded primary,Other Difficulty/Disability,136,82,54
Cheshire East,State-funded primary,Physical Disability,96,56,40
Cheshire East,State-funded primary,Profound & Multiple Learning Difficulty,24,16,8
Cheshire East,State-funded primary,SEN support but no specialist assessment of type of need,292,181,111
Cheshire East,State-funded primary,Severe Learning Difficulty,33,24,9
Cheshire East,State-funded primary,"Social, Emotional and Mental Health",785,556,229
Cheshire East,State-funded primary,Specific Learning Difficulty,566,330,236
Cheshire East,State-funded primary,"Speech, Language and Communications needs",1000,725,275
Cheshire East,State-funded primary,Visual Impairment,32,17,15
Cheshire East,State-funded secondary,Autistic Spectrum Disorder,425,293,132
Cheshire East,State-funded secondary,Hearing Impairment,42,25,17
Cheshire East,State-funded secondary,Moderate Learning Difficulty,360,219,141
Cheshire East,State-funded secondary,Multi- Sensory Impairment,11,8,3
Cheshire East,State-funded secondary,Other Difficulty/Disability,243,152,91
Cheshire East,State-funded secondary,Physical Disability,48,27,21
Cheshire East,State-funded secondary,Profound & Multiple Learning Difficulty,16,14,2
Cheshire East,State-funded secondary,SEN support but no specialist assessment of type of need,162,119,43
Cheshire East,State-funded secondary,Severe Learning Difficulty,14,9,5
Cheshire East,State-funded secondary,"Social, Emotional and Mental Health",584,370,214
Cheshire East,State-funded secondary,Specific Learning Difficulty,622,348,274
Cheshire East,State-funded secondary,"Speech, Language and Communications needs",329,224,105
Cheshire East,State-funded secondary,Visual Impairment,30,15,15
Cheshire East,State-funded special school,Autistic Spectrum Disorder,185,151,34
Cheshire East,State-funded special school,Moderate Learning Difficulty,19,15,4
Cheshire East,State-funded special school,Multi- Sensory Impairment,3,3,0
Cheshire East,State-funded special school,Other Difficulty/Disability,28,19,9
Cheshire East,State-funded special school,Physical Disability,4,0,4
Cheshire East,State-funded special school,Profound & Multiple Learning Difficulty,34,16,18
Cheshire East,State-funded special school,Severe Learning Difficulty,124,90,34
Cheshire East,State-funded special school,"Social, Emotional and Mental Health",153,118,35
Cheshire East,State-funded special school,Specific Learning Difficulty,21,13,8
Cheshire East,State-funded special school,"Speech, Language and Communications needs",45,28,17
Cheshire East,State-funded special school,Visual Impairment,1,0,1
Cheshire West and Chester,State-funded AP school,Autistic Spectrum Disorder,2,1,1
Cheshire West and Chester,State-funded AP school,Moderate Learning Difficulty,4,3,1
Cheshire West and Chester,State-funded AP school,Multi- Sensory Impairment,1,1,0
Cheshire West and Chester,State-funded AP school,Other Difficulty/Disability,2,1,1
Cheshire West and Chester,State-funded AP school,SEN support but no specialist assessment of type of need,1,1,0
Cheshire West and Chester,State-funded AP school,"Social, Emotional and Mental Health",42,25,17
Cheshire West and Chester,State-funded AP school,Specific Learning Difficulty,1,1,0
Cheshire West and Chester,State-funded AP school,"Speech, Language and Communications needs",5,4,1
Cheshire West and Chester,State-funded primary,Autistic Spectrum Disorder,384,288,96
Cheshire West and Chester,State-funded primary,Hearing Impairment,51,29,22
Cheshire West and Chester,State-funded primary,Moderate Learning Difficulty,600,349,251
Cheshire West and Chester,State-funded primary,Multi- Sensory Impairment,20,15,5
Cheshire West and Chester,State-funded primary,Other Difficulty/Disability,212,132,80
Cheshire West and Chester,State-funded primary,Physical Disability,97,59,38
Cheshire West and Chester,State-funded primary,Profound & Multiple Learning Difficulty,9,6,3
Cheshire West and Chester,State-funded primary,SEN support but no specialist assessment of type of need,335,210,125
Cheshire West and Chester,State-funded primary,Severe Learning Difficulty,18,11,7
Cheshire West and Chester,State-funded primary,"Social, Emotional and Mental Health",812,583,229
Cheshire West and Chester,State-funded primary,Specific Learning Difficulty,483,289,194
Cheshire West and Chester,State-funded primary,"Speech, Language and Communications needs",1429,977,452
Cheshire West and Chester,State-funded primary,Visual Impairment,39,21,18
Cheshire West and Chester,State-funded secondary,Autistic Spectrum Disorder,364,263,101
Cheshire West and Chester,State-funded secondary,Hearing Impairment,48,29,19
Cheshire West and Chester,State-funded secondary,Moderate Learning Difficulty,342,181,161
Cheshire West and Chester,State-funded secondary,Multi- Sensory Impairment,8,7,1
Cheshire West and Chester,State-funded secondary,Other Difficulty/Disability,116,64,52
Cheshire West and Chester,State-funded secondary,Physical Disability,52,31,21
Cheshire West and Chester,State-funded secondary,SEN support but no specialist assessment of type of need,106,60,46
Cheshire West and Chester,State-funded secondary,Severe Learning Difficulty,5,3,2
Cheshire West and Chester,State-funded secondary,"Social, Emotional and Mental Health",771,497,274
Cheshire West and Chester,State-funded secondary,Specific Learning Difficulty,636,384,252
Cheshire West and Chester,State-funded secondary,"Speech, Language and Communications needs",350,233,117
Cheshire West and Chester,State-funded secondary,Visual Impairment,69,27,42
Cheshire West and Chester,State-funded special school,Autistic Spectrum Disorder,350,290,60
Cheshire West and Chester,State-funded special school,Hearing Impairment,2,1,1
Cheshire West and Chester,State-funded special school,Moderate Learning Difficulty,111,74,37
Cheshire West and Chester,State-funded special school,Other Difficulty/Disability,17,11,6
Cheshire West and Chester,State-funded special school,Physical Disability,43,26,17
Cheshire West and Chester,State-funded special school,Profound & Multiple Learning Difficulty,34,17,17
Cheshire West and Chester,State-funded special school,Severe Learning Difficulty,175,98,77
Cheshire West and Chester,State-funded special school,"Social, Emotional and Mental Health",184,158,26
Cheshire West and Chester,State-funded special school,Specific Learning Difficulty,40,23,17
Cheshire West and Chester,State-funded special school,"Speech, Language and Communications needs",144,116,28
Cheshire West and Chester,State-funded special school,Visual Impairment,6,3,3
Bolton,Non-maintained special school,Autistic Spectrum Disorder,77,61,16
Bolton,Non-maintained special school,Moderate Learning Difficulty,1,0,1
Bolton,Non-maintained special school,Other Difficulty/Disability,1,0,1
Bolton,Non-maintained special school,Profound & Multiple Learning Difficulty,1,0,1
Bolton,Non-maintained special school,Severe Learning Difficulty,5,5,0
Bolton,Non-maintained special school,Specific Learning Difficulty,2,0,2
Bolton,State-funded AP school,Autistic Spectrum Disorder,3,2,1
Bolton,State-funded AP school,Moderate Learning Difficulty,12,11,1
Bolton,State-funded AP school,Other Difficulty/Disability,2,2,0
Bolton,State-funded AP school,"Social, Emotional and Mental Health",55,46,9
Bolton,State-funded AP school,Specific Learning Difficulty,3,2,1
Bolton,State-funded AP school,"Speech, Language and Communications needs",4,4,0
Bolton,State-funded nursery,Autistic Spectrum Disorder,15,12,3
Bolton,State-funded nursery,Other Difficulty/Disability,5,2,3
Bolton,State-funded nursery,Physical Disability,1,0,1
Bolton,State-funded nursery,Profound & Multiple Learning Difficulty,7,2,5
Bolton,State-funded nursery,"Speech, Language and Communications needs",33,21,12
Bolton,State-funded primary,Autistic Spectrum Disorder,288,219,69
Bolton,State-funded primary,Hearing Impairment,62,30,32
Bolton,State-funded primary,Moderate Learning Difficulty,745,468,277
Bolton,State-funded primary,Multi- Sensory Impairment,10,10,0
Bolton,State-funded primary,Other Difficulty/Disability,236,143,93
Bolton,State-funded primary,Physical Disability,116,69,47
Bolton,State-funded primary,Profound & Multiple Learning Difficulty,21,11,10
Bolton,State-funded primary,SEN support but no specialist assessment of type of need,110,64,46
Bolton,State-funded primary,Severe Learning Difficulty,21,13,8
Bolton,State-funded primary,"Social, Emotional and Mental Health",641,478,163
Bolton,State-funded primary,Specific Learning Difficulty,342,178,164
Bolton,State-funded primary,"Speech, Language and Communications needs",1942,1309,633
Bolton,State-funded primary,Visual Impairment,53,27,26
Bolton,State-funded secondary,Autistic Spectrum Disorder,219,172,47
Bolton,State-funded secondary,Hearing Impairment,72,36,36
Bolton,State-funded secondary,Moderate Learning Difficulty,693,399,294
Bolton,State-funded secondary,Multi- Sensory Impairment,7,3,4
Bolton,State-funded secondary,Other Difficulty/Disability,78,43,35
Bolton,State-funded secondary,Physical Disability,101,54,47
Bolton,State-funded secondary,Profound & Multiple Learning Difficulty,1,0,1
Bolton,State-funded secondary,SEN support but no specialist assessment of type of need,105,59,46
Bolton,State-funded secondary,Severe Learning Difficulty,10,7,3
Bolton,State-funded secondary,"Social, Emotional and Mental Health",641,433,208
Bolton,State-funded secondary,Specific Learning Difficulty,483,278,205
Bolton,State-funded secondary,"Speech, Language and Communications needs",395,280,115
Bolton,State-funded secondary,Visual Impairment,45,21,24
Bolton,State-funded special school,Autistic Spectrum Disorder,398,319,79
Bolton,State-funded special school,Hearing Impairment,77,53,24
Bolton,State-funded special school,Moderate Learning Difficulty,153,89,64
Bolton,State-funded special school,Other Difficulty/Disability,5,2,3
Bolton,State-funded special school,Physical Disability,13,9,4
Bolton,State-funded special school,Profound & Multiple Learning Difficulty,82,42,40
Bolton,State-funded special school,Severe Learning Difficulty,150,86,64
Bolton,State-funded special school,"Social, Emotional and Mental Health",97,76,21
Bolton,State-funded special school,Specific Learning Difficulty,6,5,1
Bolton,State-funded special school,"Speech, Language and Communications needs",51,33,18
Bolton,State-funded special school,Visual Impairment,5,2,3
Bury,State-funded AP school,Autistic Spectrum Disorder,1,1,0
Bury,State-funded AP school,Moderate Learning Difficulty,8,5,3
Bury,State-funded AP school,SEN support but no specialist assessment of type of need,1,1,0
Bury,State-funded AP school,"Social, Emotional and Mental Health",77,46,31
Bury,State-funded AP school,Specific Learning Difficulty,4,2,2
Bury,State-funded AP school,"Speech, Language and Communications needs",4,3,1
Bury,State-funded AP school,Visual Impairment,3,1,2
Bury,State-funded nursery,Hearing Impairment,2,0,2
Bury,State-funded nursery,Moderate Learning Difficulty,1,1,0
Bury,State-funded nursery,Profound & Multiple Learning Difficulty,1,1,0
Bury,State-funded nursery,"Speech, Language and Communications needs",12,7,5
Bury,State-funded primary,Autistic Spectrum Disorder,297,218,79
Bury,State-funded primary,Hearing Impairment,36,22,14
Bury,State-funded primary,Moderate Learning Difficulty,344,190,154
Bury,State-funded primary,Multi- Sensory Impairment,13,5,8
Bury,State-funded primary,Other Difficulty/Disability,86,49,37
Bury,State-funded primary,Physical Disability,58,37,21
Bury,State-funded primary,Profound & Multiple Learning Difficulty,7,5,2
Bury,State-funded primary,SEN support but no specialist assessment of type of need,297,181,116
Bury,State-funded primary,Severe Learning Difficulty,8,4,4
Bury,State-funded primary,"Social, Emotional and Mental Health",513,373,140
Bury,State-funded primary,Specific Learning Difficulty,247,120,127
Bury,State-funded primary,"Speech, Language and Communications needs",862,599,263
Bury,State-funded primary,Visual Impairment,30,17,13
Bury,State-funded secondary,Autistic Spectrum Disorder,165,126,39
Bury,State-funded secondary,Hearing Impairment,34,18,16
Bury,State-funded secondary,Moderate Learning Difficulty,325,170,155
Bury,State-funded secondary,Multi- Sensory Impairment,3,3,0
Bury,State-funded secondary,Other Difficulty/Disability,34,18,16
Bury,State-funded secondary,Physical Disability,47,33,14
Bury,State-funded secondary,Profound & Multiple Learning Difficulty,4,2,2
Bury,State-funded secondary,SEN support but no specialist assessment of type of need,85,42,43
Bury,State-funded secondary,Severe Learning Difficulty,3,3,0
Bury,State-funded secondary,"Social, Emotional and Mental Health",461,283,178
Bury,State-funded secondary,Specific Learning Difficulty,273,138,135
Bury,State-funded secondary,"Speech, Language and Communications needs",166,125,41
Bury,State-funded secondary,Visual Impairment,29,16,13
Bury,State-funded special school,Autistic Spectrum Disorder,184,152,32
Bury,State-funded special school,Hearing Impairment,2,2,0
Bury,State-funded special school,Moderate Learning Difficulty,38,26,12
Bury,State-funded special school,Multi- Sensory Impairment,1,1,0
Bury,State-funded special school,Other Difficulty/Disability,4,3,1
Bury,State-funded special school,Physical Disability,16,5,11
Bury,State-funded special school,Profound & Multiple Learning Difficulty,50,29,21
Bury,State-funded special school,Severe Learning Difficulty,79,50,29
Bury,State-funded special school,"Social, Emotional and Mental Health",36,21,15
Bury,State-funded special school,Specific Learning Difficulty,15,13,2
Bury,State-funded special school,"Speech, Language and Communications needs",50,36,14
Bury,State-funded special school,Visual Impairment,3,2,1
Manchester,State-funded AP school,Autistic Spectrum Disorder,4,4,0
Manchester,State-funded AP school,"Social, Emotional and Mental Health",230,188,42
Manchester,State-funded nursery,Other Difficulty/Disability,3,2,1
Manchester,State-funded nursery,Physical Disability,1,0,1
Manchester,State-funded nursery,SEN support but no specialist assessment of type of need,10,9,1
Manchester,State-funded nursery,Severe Learning Difficulty,1,1,0
Manchester,State-funded nursery,"Speech, Language and Communications needs",4,2,2
Manchester,State-funded primary,Autistic Spectrum Disorder,533,381,152
Manchester,State-funded primary,Hearing Impairment,154,94,60
Manchester,State-funded primary,Moderate Learning Difficulty,1398,785,613
Manchester,State-funded primary,Multi- Sensory Impairment,27,18,9
Manchester,State-funded primary,Other Difficulty/Disability,298,177,121
Manchester,State-funded primary,Physical Disability,221,115,106
Manchester,State-funded primary,Profound & Multiple Learning Difficulty,17,11,6
Manchester,State-funded primary,SEN support but no specialist assessment of type of need,511,294,217
Manchester,State-funded primary,Severe Learning Difficulty,53,35,18
Manchester,State-funded primary,"Social, Emotional and Mental Health",1573,1125,448
Manchester,State-funded primary,Specific Learning Difficulty,600,304,296
Manchester,State-funded primary,"Speech, Language and Communications needs",4192,2877,1315
Manchester,State-funded primary,Visual Impairment,68,40,28
Manchester,State-funded secondary,Autistic Spectrum Disorder,531,390,141
Manchester,State-funded secondary,Hearing Impairment,127,67,60
Manchester,State-funded secondary,Moderate Learning Difficulty,1172,633,539
Manchester,State-funded secondary,Multi- Sensory Impairment,27,19,8
Manchester,State-funded secondary,Other Difficulty/Disability,480,288,192
Manchester,State-funded secondary,Physical Disability,157,85,72
Manchester,State-funded secondary,Profound & Multiple Learning Difficulty,7,3,4
Manchester,State-funded secondary,SEN support but no specialist assessment of type of need,220,146,74
Manchester,State-funded secondary,Severe Learning Difficulty,19,11,8
Manchester,State-funded secondary,"Social, Emotional and Mental Health",1696,1038,658
Manchester,State-funded secondary,Specific Learning Difficulty,635,354,281
Manchester,State-funded secondary,"Speech, Language and Communications needs",1067,698,369
Manchester,State-funded secondary,Visual Impairment,93,53,40
Manchester,State-funded special school,Autistic Spectrum Disorder,864,681,183
Manchester,State-funded special school,Hearing Impairment,5,0,5
Manchester,State-funded special school,Moderate Learning Difficulty,37,23,14
Manchester,State-funded special school,Multi- Sensory Impairment,3,2,1
Manchester,State-funded special school,Other Difficulty/Disability,11,8,3
Manchester,State-funded special school,Physical Disability,44,26,18
Manchester,State-funded special school,Profound & Multiple Learning Difficulty,146,83,63
Manchester,State-funded special school,Severe Learning Difficulty,618,392,226
Manchester,State-funded special school,"Social, Emotional and Mental Health",310,260,50
Manchester,State-funded special school,Specific Learning Difficulty,38,30,8
Manchester,State-funded special school,"Speech, Language and Communications needs",84,66,18
Manchester,State-funded special school,Visual Impairment,3,0,3
Oldham,State-funded AP school,"Social, Emotional and Mental Health",42,30,12
Oldham,State-funded primary,Autistic Spectrum Disorder,324,230,94
Oldham,State-funded primary,Hearing Impairment,77,38,39
Oldham,State-funded primary,Moderate Learning Difficulty,686,425,261
Oldham,State-funded primary,Multi- Sensory Impairment,13,6,7
Oldham,State-funded primary,Other Difficulty/Disability,101,59,42
Oldham,State-funded primary,Physical Disability,100,54,46
Oldham,State-funded primary,Profound & Multiple Learning Difficulty,7,3,4
Oldham,State-funded primary,SEN support but no specialist assessment of type of need,219,128,91
Oldham,State-funded primary,Severe Learning Difficulty,17,9,8
Oldham,State-funded primary,"Social, Emotional and Mental Health",551,367,184
Oldham,State-funded primary,Specific Learning Difficulty,149,88,61
Oldham,State-funded primary,"Speech, Language and Communications needs",2106,1482,624
Oldham,State-funded primary,Visual Impairment,53,28,25
Oldham,State-funded secondary,Autistic Spectrum Disorder,312,242,70
Oldham,State-funded secondary,Hearing Impairment,58,31,27
Oldham,State-funded secondary,Moderate Learning Difficulty,488,265,223
Oldham,State-funded secondary,Multi- Sensory Impairment,16,10,6
Oldham,State-funded secondary,Other Difficulty/Disability,131,71,60
Oldham,State-funded secondary,Physical Disability,98,47,51
Oldham,State-funded secondary,Profound & Multiple Learning Difficulty,3,2,1
Oldham,State-funded secondary,SEN support but no specialist assessment of type of need,54,34,20
Oldham,State-funded secondary,Severe Learning Difficulty,13,9,4
Oldham,State-funded secondary,"Social, Emotional and Mental Health",603,386,217
Oldham,State-funded secondary,Specific Learning Difficulty,221,127,94
Oldham,State-funded secondary,"Speech, Language and Communications needs",484,340,144
Oldham,State-funded secondary,Visual Impairment,33,20,13
Oldham,State-funded special school,Autistic Spectrum Disorder,667,522,145
Oldham,State-funded special school,Hearing Impairment,5,4,1
Oldham,State-funded special school,Moderate Learning Difficulty,78,39,39
Oldham,State-funded special school,Other Difficulty/Disability,6,3,3
Oldham,State-funded special school,Physical Disability,95,59,36
Oldham,State-funded special school,Profound & Multiple Learning Difficulty,78,45,33
Oldham,State-funded special school,Severe Learning Difficulty,59,38,21
Oldham,State-funded special school,"Social, Emotional and Mental Health",171,152,19
Oldham,State-funded special school,Specific Learning Difficulty,31,16,15
Oldham,State-funded special school,"Speech, Language and Communications needs",139,96,43
Oldham,State-funded special school,Visual Impairment,9,7,2
Rochdale,State-funded AP school,Other Difficulty/Disability,2,2,0
Rochdale,State-funded AP school,SEN support but no specialist assessment of type of need,18,12,6
Rochdale,State-funded AP school,"Social, Emotional and Mental Health",97,62,35
Rochdale,State-funded nursery,Autistic Spectrum Disorder,2,1,1
Rochdale,State-funded nursery,Hearing Impairment,1,0,1
Rochdale,State-funded nursery,Physical Disability,2,2,0
Rochdale,State-funded nursery,SEN support but no specialist assessment of type of need,6,3,3
Rochdale,State-funded nursery,"Speech, Language and Communications needs",4,2,2
Rochdale,State-funded primary,Autistic Spectrum Disorder,472,367,105
Rochdale,State-funded primary,Hearing Impairment,77,37,40
Rochdale,State-funded primary,Moderate Learning Difficulty,612,355,257
Rochdale,State-funded primary,Multi- Sensory Impairment,21,12,9
Rochdale,State-funded primary,Other Difficulty/Disability,62,38,24
Rochdale,State-funded primary,Physical Disability,75,44,31
Rochdale,State-funded primary,Profound & Multiple Learning Difficulty,14,4,10
Rochdale,State-funded primary,SEN support but no specialist assessment of type of need,102,60,42
Rochdale,State-funded primary,Severe Learning Difficulty,11,6,5
Rochdale,State-funded primary,"Social, Emotional and Mental Health",683,488,195
Rochdale,State-funded primary,Specific Learning Difficulty,190,97,93
Rochdale,State-funded primary,"Speech, Language and Communications needs",1289,908,381
Rochdale,State-funded primary,Visual Impairment,34,16,18
Rochdale,State-funded secondary,Autistic Spectrum Disorder,415,305,110
Rochdale,State-funded secondary,Hearing Impairment,51,26,25
Rochdale,State-funded secondary,Moderate Learning Difficulty,486,285,201
Rochdale,State-funded secondary,Multi- Sensory Impairment,3,1,2
Rochdale,State-funded secondary,Other Difficulty/Disability,46,29,17
Rochdale,State-funded secondary,Physical Disability,64,33,31
Rochdale,State-funded secondary,Profound & Multiple Learning Difficulty,3,1,2
Rochdale,State-funded secondary,SEN support but no specialist assessment of type of need,42,29,13
Rochdale,State-funded secondary,Severe Learning Difficulty,10,7,3
Rochdale,State-funded secondary,"Social, Emotional and Mental Health",495,342,153
Rochdale,State-funded secondary,Specific Learning Difficulty,303,171,132
Rochdale,State-funded secondary,"Speech, Language and Communications needs",252,171,81
Rochdale,State-funded secondary,Visual Impairment,19,10,9
Rochdale,State-funded special school,Autistic Spectrum Disorder,292,241,51
Rochdale,State-funded special school,Hearing Impairment,2,0,2
Rochdale,State-funded special school,Moderate Learning Difficulty,33,22,11
Rochdale,State-funded special school,Multi- Sensory Impairment,1,1,0
Rochdale,State-funded special school,Other Difficulty/Disability,18,15,3
Rochdale,State-funded special school,Physical Disability,21,11,10
Rochdale,State-funded special school,Profound & Multiple Learning Difficulty,52,30,22
Rochdale,State-funded special school,Severe Learning Difficulty,84,52,32
Rochdale,State-funded special school,"Social, Emotional and Mental Health",68,54,14
Rochdale,State-funded special school,Specific Learning Difficulty,23,18,5
Rochdale,State-funded special school,"Speech, Language and Communications needs",63,51,12
Rochdale,State-funded special school,Visual Impairment,2,1,1
Salford,State-funded AP school,Autistic Spectrum Disorder,5,5,0
Salford,State-funded AP school,Moderate Learning Difficulty,13,11,2
Salford,State-funded AP school,Other Difficulty/Disability,1,0,1
Salford,State-funded AP school,"Social, Emotional and Mental Health",108,83,25
Salford,State-funded AP school,Specific Learning Difficulty,5,5,0
Salford,State-funded AP school,"Speech, Language and Communications needs",4,4,0
Salford,State-funded AP school,Visual Impairment,1,1,0
Salford,State-funded primary,Autistic Spectrum Disorder,416,316,100
Salford,State-funded primary,Hearing Impairment,71,35,36
Salford,State-funded primary,Moderate Learning Difficulty,896,486,410
Salford,State-funded primary,Multi- Sensory Impairment,5,4,1
Salford,State-funded primary,Other Difficulty/Disability,62,31,31
Salford,State-funded primary,Physical Disability,123,63,60
Salford,State-funded primary,Profound & Multiple Learning Difficulty,5,2,3
Salford,State-funded primary,SEN support but no specialist assessment of type of need,50,32,18
Salford,State-funded primary,Severe Learning Difficulty,28,19,9
Salford,State-funded primary,"Social, Emotional and Mental Health",810,563,247
Salford,State-funded primary,Specific Learning Difficulty,432,221,211
Salford,State-funded primary,"Speech, Language and Communications needs",1837,1277,560
Salford,State-funded primary,Visual Impairment,31,19,12
